shot,true_obs,ml_class,beam8_pred,bp30+osd_pred,nms-ens24_pred,beam8_regret,bp30+osd_regret,nms-ens24_regret
320,2,2,1,1,3,5.705964,5.705964,0.001660
321,13,13,14,13,0,0.000000,0.000000,15.546608
322,0,0,0,0,0,0.000000,0.000000,0.000000
323,14,14,14,12,14,0.000000,5.992157,0.000000
324,4,4,4,4,4,0.000000,0.000000,0.000000
325,0,0,0,0,0,0.000000,0.000000,0.000000
326,0,0,0,0,0,0.000000,0.000000,0.000000
327,0,0,0,0,0,0.000000,0.000000,0.000000
328,0,0,0,0,0,0.000000,0.000000,0.000000
329,0,0,0,0,0,0.000000,0.000000,0.000000
330,15,15,15,15,15,0.000000,0.000000,0.000000
331,0,0,0,0,0,0.000000,0.000000,0.000000
332,9,9,9,9,9,0.000000,0.000000,0.000000
333,0,0,0,0,0,0.000000,0.000000,0.000000
334,0,0,0,0,0,0.000000,0.000000,0.000000
335,0,0,0,0,0,0.000000,0.000000,0.000000
336,0,0,0,0,0,0.000000,0.000000,0.000000
337,4,4,4,4,4,0.000000,0.000000,0.000000
338,0,0,0,0,0,0.000000,0.000000,0.000000
339,2,1,0,1,0,12.792506,0.000000,12.792506
340,0,0,0,0,0,0.000000,0.000000,0.000000
341,0,0,0,0,0,0.000000,0.000000,0.000000
342,0,0,0,0,0,0.000000,0.000000,0.000000
343,0,0,0,0,0,0.000000,0.000000,0.000000
344,0,0,0,0,0,0.000000,0.000000,0.000000
345,0,0,0,0,0,0.000000,0.000000,0.000000
346,8,8,8,8,8,0.000000,0.000000,0.000000
347,14,14,14,14,14,0.000000,0.000000,0.000000
348,0,0,0,0,0,0.000000,0.000000,0.000000
349,0,0,0,0,0,0.000000,0.000000,0.000000
350,9,9,9,9,9,0.000000,0.000000,0.000000
351,0,0,0,0,0,0.000000,0.000000,0.000000
352,0,0,0,0,0,0.000000,0.000000,0.000000
353,0,0,0,0,0,0.000000,0.000000,0.000000
354,0,0,0,0,0,0.000000,0.000000,0.000000
355,0,0,0,0,0,0.000000,0.000000,0.000000
356,12,12,12,12,12,0.000000,0.000000,0.000000
357,0,0,0,0,0,0.000000,0.000000,0.000000
358,0,0,0,0,0,0.000000,0.000000,0.000000
359,0,0,0,0,0,0.000000,0.000000,0.000000
360,0,0,0,0,0,0.000000,0.000000,0.000000
361,14,14,14,14,14,0.000000,0.000000,0.000000
362,0,0,0,0,0,0.000000,0.000000,0.000000
363,0,0,0,0,0,0.000000,0.000000,0.000000
364,4,4,4,4,4,0.000000,0.000000,0.000000
365,0,0,0,0,0,0.000000,0.000000,0.000000
366,0,0,0,0,0,0.000000,0.000000,0.000000
367,0,0,0,0,0,0.000000,0.000000,0.000000
368,0,0,0,0,0,0.000000,0.000000,0.000000
369,2,2,2,2,2,0.000000,0.000000,0.000000
370,15,15,15,15,15,0.000000,0.000000,0.000000
371,12,12,12,12,12,0.000000,0.000000,0.000000
372,8,8,8,8,8,0.000000,0.000000,0.000000
373,0,0,0,0,0,0.000000,0.000000,0.000000
374,0,0,0,0,0,0.000000,0.000000,0.000000
375,0,0,0,0,0,0.000000,0.000000,0.000000
376,0,0,0,0,0,0.000000,0.000000,0.000000
377,9,9,9,9,9,0.000000,0.000000,0.000000
378,13,13,13,13,13,0.000000,0.000000,0.000000
379,0,0,0,0,0,0.000000,0.000000,0.000000
380,0,0,0,0,0,0.000000,0.000000,0.000000
381,14,14,9,14,14,6.683081,0.000000,0.000000
382,14,14,15,14,14,7.088410,0.000000,0.000000
383,0,0,0,0,0,0.000000,0.000000,0.000000
384,12,12,12,12,12,0.000000,0.000000,0.000000
385,0,0,0,0,0,0.000000,0.000000,0.000000
386,0,0,0,0,0,0.000000,0.000000,0.000000
387,0,0,0,0,0,0.000000,0.000000,0.000000
388,0,0,0,0,0,0.000000,0.000000,0.000000
389,2,2,2,2,2,0.000000,0.000000,0.000000
390,1,1,1,1,1,0.000000,0.000000,0.000000
391,0,0,0,0,0,0.000000,0.000000,0.000000
392,0,0,0,0,0,0.000000,0.000000,0.000000
393,0,0,0,0,0,0.000000,0.000000,0.000000
394,8,4,4,4,4,0.000000,0.000000,0.000000
395,0,0,0,0,0,0.000000,0.000000,0.000000
396,0,0,0,0,0,0.000000,0.000000,0.000000
397,10,10,10,10,10,0.000000,0.000000,0.000000
398,0,0,0,0,0,0.000000,0.000000,0.000000
399,12,12,12,12,12,0.000000,0.000000,0.000000
400,0,0,0,0,0,0.000000,0.000000,0.000000
401,0,0,0,0,0,0.000000,0.000000,0.000000
402,8,8,8,8,8,0.000000,0.000000,0.000000
403,0,0,0,0,0,0.000000,0.000000,0.000000
404,0,0,0,0,0,0.000000,0.000000,0.000000
405,0,0,0,0,0,0.000000,0.000000,0.000000
406,8,8,8,8,8,0.000000,0.000000,0.000000
407,0,0,0,0,0,0.000000,0.000000,0.000000
408,8,8,8,8,8,0.000000,0.000000,0.000000
409,12,12,12,12,12,0.000000,0.000000,0.000000
410,1,1,1,1,1,0.000000,0.000000,0.000000
411,0,0,0,0,0,0.000000,0.000000,0.000000
412,0,0,0,0,0,0.000000,0.000000,0.000000
413,0,0,0,0,0,0.000000,0.000000,0.000000
414,0,0,0,0,0,0.000000,0.000000,0.000000
415,0,0,0,0,0,0.000000,0.000000,0.000000
416,5,5,5,5,5,0.000000,0.000000,0.000000
417,4,4,4,4,4,0.000000,0.000000,0.000000
418,8,8,8,8,8,0.000000,0.000000,0.000000
419,12,12,12,12,12,0.000000,0.000000,0.000000
420,8,8,8,8,8,0.000000,0.000000,0.000000
421,6,6,6,6,6,0.000000,0.000000,0.000000
422,0,0,0,0,0,0.000000,0.000000,0.000000
423,0,0,0,0,0,0.000000,0.000000,0.000000
424,0,0,0,0,0,0.000000,0.000000,0.000000
425,0,0,0,0,0,0.000000,0.000000,0.000000
426,0,0,0,0,0,0.000000,0.000000,0.000000
427,0,0,0,0,0,0.000000,0.000000,0.000000
428,0,0,0,0,0,0.000000,0.000000,0.000000
429,0,0,0,0,0,0.000000,0.000000,0.000000
430,0,0,0,0,0,0.000000,0.000000,0.000000
431,0,0,0,0,0,0.000000,0.000000,0.000000
432,0,0,0,0,0,0.000000,0.000000,0.000000
433,14,14,2,14,2,6.683361,0.000000,6.683361
434,0,0,0,0,0,0.000000,0.000000,0.000000
435,0,0,0,0,0,0.000000,0.000000,0.000000
436,13,13,13,13,13,0.000000,0.000000,0.000000
437,0,0,0,0,0,0.000000,0.000000,0.000000
438,0,0,0,0,0,0.000000,0.000000,0.000000
439,0,0,0,0,0,0.000000,0.000000,0.000000
440,0,0,0,0,0,0.000000,0.000000,0.000000
441,4,4,4,4,4,0.000000,0.000000,0.000000
442,0,0,0,0,0,0.000000,0.000000,0.000000
443,0,0,0,0,0,0.000000,0.000000,0.000000
444,4,4,4,4,4,0.000000,0.000000,0.000000
445,0,0,0,0,0,0.000000,0.000000,0.000000
446,4,7,4,7,0,0.000829,0.000000,7.766706
447,0,0,0,0,0,0.000000,0.000000,0.000000
448,0,0,0,0,0,0.000000,0.000000,0.000000
449,0,0,0,0,0,0.000000,0.000000,0.000000
450,0,0,0,0,0,0.000000,0.000000,0.000000
451,8,8,8,8,8,0.000000,0.000000,0.000000
452,0,0,0,0,0,0.000000,0.000000,0.000000
453,0,0,0,0,0,0.000000,0.000000,0.000000
454,0,0,0,0,0,0.000000,0.000000,0.000000
455,0,0,0,0,0,0.000000,0.000000,0.000000
456,4,4,12,12,12,6.684887,6.684887,6.684887
457,15,15,15,15,15,0.000000,0.000000,0.000000
